n_components,n_clusters,silhouette_score,calinski_harabasz_score
2,3,0.5574956748938774,3205.513227586918
2,4,0.4757316130790191,3579.8551543314206
2,5,0.5105404701706889,4318.550896865145
2,6,0.4515911549281684,4951.826357398412
3,3,0.530790455364846,2598.352283277552
3,4,0.43683502937946056,2715.0406812575284
3,5,0.46680606683213577,2980.9948977885356
3,6,0.39125733727094564,3097.922952686172
4,3,0.49676324638710695,2261.232646109252
4,4,0.39291567162508173,2336.431054208181
4,5,0.4206935326019927,2454.2423587189214
4,6,0.42141063773909104,2586.1434887878163
5,3,0.47679827752976595,2161.3045040726042
5,4,0.367525582658122,2188.1347456655203
5,5,0.3944841637963472,2289.3647859537996
5,6,0.3918858471486087,2364.804338747472
